"line","station","Year","Season","Species Name","Duration (Hours)"
60,60,2011,"Winter","Humpback whale",14
63,80,2011,"Winter","Humpback whale",18
70,70,2010,"Winter","Humpback whale",3
70,80,2010,"Winter","Humpback whale",3
70,80,2011,"Winter","Humpback whale",5
70,90,2011,"Winter","Humpback whale",6
73,60,2010,"Winter","Fin whale",2
73,60,2010,"Winter","Humpback whale",4
73,60,2011,"Winter","Humpback whale",15
73,70,2011,"Winter","Humpback whale",4
73,80,2006,"Winter","Fin whale",6
73,90,2010,"Spring","Humpback whale",8
73,90,2010,"Summer","Fin whale",7
76,55,2010,"Summer","Blue whale",22
76,55,2010,"Summer","Fin whale",8
76,55,2010,"Summer","Humpback whale",7
76,70,2009,"Fall","Fin whale",7
76,100,2010,"Summer","Blue whale",7
80,51,2004,"Fall","Humpback whale",5
80,51,2006,"Spring","Humpback whale",1
80,51,2007,"Spring","Humpback whale",5
80,51,2008,"Summer","Blue whale",6
80,51,2009,"Winter","Humpback whale",8
80,51,2010,"Summer","Blue whale",14
80,51,2010,"Summer","Fin whale",2
80,51,2012,"Spring","Fin whale",5
80,55,2004,"Summer","Blue whale",12
80,55,2005,"Spring","Blue whale",3
80,55,2005,"Spring","Fin whale",6
80,55,2005,"Spring","Humpback whale",20
80,55,2006,"Summer","Blue whale",11
80,55,2006,"Summer","Humpback whale",3
80,55,2007,"Fall","Blue whale",8
80,55,2007,"Fall","Fin whale",12
80,55,2007,"Summer","Blue whale",6
80,55,2007,"Summer","Fin whale",10
80,55,2008,"Winter","Fin whale",6
80,55,2008,"Winter","Humpback whale",12
80,55,2010,"Summer","Blue whale",21
80,55,2010,"Summer","Fin whale",21
80,55,2010,"Summer","Humpback whale",7
80,55,2012,"Spring","Humpback whale",6
80,55,2012,"Summer","Blue whale",1
80,60,2004,"Fall","Blue whale",16
80,60,2004,"Fall","Fin whale",20
80,60,2005,"Fall","Blue whale",7
80,60,2005,"Fall","Fin whale",5
80,60,2007,"Fall","Blue whale",4
80,60,2007,"Fall","Fin whale",14
80,60,2008,"Fall","Blue whale",7
80,60,2008,"Fall","Fin whale",3
80,60,2012,"Spring","Fin whale",5
80,60,2012,"Spring","Humpback whale",8
80,70,2004,"Fall","Blue whale",10
80,70,2004,"Fall","Fin whale",16
80,70,2005,"Fall","Blue whale",4
80,70,2005,"Fall","Fin whale",4
80,70,2005,"Spring","Humpback whale",4
80,70,2005,"Winter","Fin whale",15
80,70,2005,"Winter","Humpback whale",15
80,70,2006,"Spring","Humpback whale",13
80,70,2006,"Winter","Humpback whale",3
80,70,2008,"Fall","Blue whale",6
80,70,2008,"Fall","Fin whale",6
80,70,2009,"Summer","Humpback whale",5
80,70,2009,"Winter","Fin whale",6
80,70,2009,"Winter","Humpback whale",13
80,70,2010,"Fall","Fin whale",3
80,70,2010,"Winter","Fin whale",4
80,70,2010,"Winter","Humpback whale",6
80,70,2011,"Fall","Fin whale",12
80,70,2011,"Fall","Humpback whale",11
80,70,2011,"Summer","Fin whale",12
80,70,2012,"Fall","Humpback whale",2
80,80,2004,"Spring","Humpback whale",8
80,80,2005,"Winter","Blue whale",5
80,80,2005,"Winter","Fin whale",6
80,80,2005,"Winter","Humpback whale",15
80,80,2006,"Spring","Humpback whale",17
80,80,2007,"Spring","Blue whale",7
80,80,2007,"Spring","Humpback whale",19
80,80,2008,"Summer","Blue whale",11
80,80,2008,"Summer","Fin whale",15
80,80,2010,"Summer","Fin whale",16
80,80,2012,"Spring","Fin whale",6
80,80,2012,"Spring","Humpback whale",7
80,80,2012,"Summer","Blue whale",2
80,80,2012,"Summer","Fin whale",5
80,80,2012,"Winter","Fin whale",13
80,80,2012,"Winter","Humpback whale",13
80,90,2004,"Fall","Blue whale",10
80,90,2004,"Fall","Fin whale",17
80,90,2005,"Spring","Blue whale",10
80,90,2005,"Spring","Humpback whale",12
80,90,2007,"Fall","Blue whale",13
80,90,2007,"Fall","Fin whale",13
80,90,2007,"Summer","Blue whale",10
80,90,2007,"Summer","Fin whale",3
80,90,2008,"Summer","Blue whale",15
80,90,2008,"Summer","Fin whale",6
80,90,2008,"Winter","Humpback whale",16
80,90,2009,"Summer","Humpback whale",2
80,90,2010,"Summer","Fin whale",8
80,90,2011,"Spring","Humpback whale",10
80,90,2011,"Winter","Fin whale",23
80,90,2011,"Winter","Humpback whale",33
80,90,2012,"Spring","Blue whale",8
80,90,2012,"Spring","Humpback whale",8
80,90,2012,"Summer","Blue whale",1
80,90,2012,"Winter","Humpback whale",12
80,100,2004,"Fall","Fin whale",6
80,100,2005,"Fall","Fin whale",6
80,100,2005,"Summer","Blue whale",4
80,100,2005,"Summer","Fin whale",6
80,100,2006,"Winter","Fin whale",12
80,100,2006,"Winter","Humpback whale",6
80,100,2008,"Fall","Blue whale",6
80,100,2008,"Fall","Fin whale",6
80,100,2009,"Summer","Humpback whale",5
80,100,2010,"Winter","Fin whale",5
80,100,2010,"Winter","Humpback whale",5
80,100,2011,"Fall","Humpback whale",10
80,100,2011,"Spring","Humpback whale",11
80,100,2011,"Summer","Fin whale",6
80,100,2012,"Fall","Blue whale",1
80,100,2012,"Fall","Humpback whale",3
83,39,2008,"Fall","Humpback whale",5
83,40,2009,"Summer","Humpback whale",6
83,42,2005,"Spring","Blue whale",17
83,42,2005,"Summer","Blue whale",12
83,42,2005,"Winter","Blue whale",5
83,42,2005,"Winter","Fin whale",5
83,42,2005,"Winter","Humpback whale",5
83,42,2007,"Fall","Blue whale",9
83,51,2006,"Summer","Blue whale",4
83,51,2008,"Spring","Humpback whale",8
83,51,2008,"Summer","Blue whale",16
83,51,2008,"Summer","Fin whale",16
83,51,2010,"Summer","Fin whale",5
83,51,2012,"Summer","Blue whale",2
83,51,2012,"Summer","Fin whale",2
83,55,2004,"Fall","Fin whale",22
83,55,2006,"Fall","Blue whale",7
83,55,2006,"Summer","Blue whale",3
83,55,2007,"Summer","Blue whale",6
83,55,2007,"Summer","Fin whale",6
83,55,2008,"Spring","Fin whale",12
83,55,2008,"Spring","Humpback whale",11
83,55,2009,"Winter","Fin whale",4
83,55,2009,"Winter","Humpback whale",10
83,55,2010,"Summer","Blue whale",15
83,55,2010,"Summer","Fin whale",16
83,55,2010,"Winter","Blue whale",1
83,55,2010,"Winter","Fin whale",3
83,55,2010,"Winter","Humpback whale",1
83,55,2011,"Winter","Humpback whale",8
83,60,2004,"Fall","Blue whale",24
83,60,2004,"Fall","Fin whale",24
83,60,2004,"Spring","Humpback whale",6
83,60,2005,"Fall","Blue whale",6
83,60,2005,"Fall","Fin whale",5
