"station","Year","Season","cruise","line","SB#","D/O?","Date","Hour","Quality","Sarah's scale (amt of background)","Types of Background","Detections?","Blue B","Blue D","Fin 20Hz Singular","Fin 20Hz Song","Fin C.C.","Fin H.C.","Humpback Song","Humpback Non-song","Start/End","Hour spans","Comments","Scan Method","Time window","Top freq","Low Freq","FFT Length","Overlap","SpeciesName","longitude","latitude","depth"
26,2011,"Summer","CC1108","93.0","SB01","OMNI",2011-07-27,1899-12-31 17:00:00,"Poor","lots to tons","1,2,3,A","No",0,0,0,0,0,0,0,0,"starts 17:45:39",2,"looks sort of broken","wav files, cts","60s","500Hz","0Hz",3000,0.9,NA,-118.93551,32.91795,1695
26,2005,"Spring","CC0504","92.0","SB03","OMNI",2005-04-15,1899-12-31 15:00:00,"Medium**","lots**","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"ends 15:57:59",6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.93551,32.91795,1695
26,2005,"Spring","CC0504","92.0","SB03","OMNI",2005-04-15,1899-12-31 14:00:00,"Medium","lots","1,2,3,B","No",0,0,0,0,0,0,0,0,"starts 14:51:12",1,NA,"wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.93551,32.91795,1695
26,2011,"Summer","CC1108","93.0","SB01","OMNI",2011-07-27,1899-12-31 18:00:00,"Poor","lots to tons","1,2,3,A,B","Yes",1,0,0,1,0,0,0,0,NA,7,"static takes over 7min48s in every 10 min","wav files, cts","60s","500Hz","0Hz",3000,0.9,"Fin Whale",-118.93551,32.91795,1695
26,2011,"Summer","CC1108","93.0","SB01","OMNI",2011-07-27,1899-12-31 18:00:00,"Poor","lots to tons","1,2,3,A,B","Yes",1,0,0,1,0,0,0,0,NA,7,"static takes over 7min48s in every 10 min","wav files, cts","60s","500Hz","0Hz",3000,0.9,"Blue Whale",-118.93551,32.91795,1695
26,2011,"Summer","CC1108","93.0","SB01","OMNI",2011-07-27,1899-12-31 19:00:00,"Poor","tons","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,"ends 19:55:11",7,"static takes over 7min48s in every 10 min; break 19:29-19:35:52","wav files, cts","60s","500Hz","0Hz",3000,0.9,"Blue Whale",-118.93551,32.91795,1695
27,2004,"Spring","CC0404","93.0","SB01","OMNI",2004-03-23,1899-12-31 20:00:00,"Poor","tons","1,A,B","No",0,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file; just static","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.38708,33.18462,1177
27,2007,"Summer","CC07","90.0","SB14","OMNI",2007-07-04,1899-12-31 22:00:00,"Poor","lots to tons","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"starts 22:20:00",4,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.38708,33.18462,1177
27,2004,"Spring","CC0404","93.0","SB01","OMNI",2004-03-23,1899-12-31 21:00:00,"Poor","tons","1,A,B","No",0,0,0,0,0,0,0,0,"ends 21:32:02",4,"static takes over 5min 11sec into each 10min file; just static","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.38708,33.18462,1177
27,2007,"Summer","CC07","90.0","SB14","OMNI",2007-07-04,1899-12-31 23:00:00,"Poor","lots to tons","1,2,3,A,B","adhoc only",0,0,0,0,0,0,0,0,NA,6,"adhoc Blue D; static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.38708,33.18462,1177
27,2004,"Spring","CC0404","93.0","SB01","OMNI",2004-03-23,1899-12-31 19:00:00,"Poor","tons","1,A,B","No",0,0,0,0,0,0,0,0,"starts 19:01:14",6,"static takes over 5min 11sec into each 10min file; just static","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.38708,33.18462,1177
27,2007,"Summer","CC07","90.0","SB14","OMNI",2007-07-05,1899-12-31,"Medium","lots to tons","1,2,3,A,B","Yes",0,1,0,0,0,0,0,0,"ends 0:19:00",3,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.38708,33.18462,1177
28,2008,"Summer","CC0808","90.0","SB13","OMNI",2008-08-20,1899-12-31 22:00:00,"Medium","lots to tons","1,2,3,A,B","Yes",1,1,0,1,0,1,0,1,"ends 22:24:00",3,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2011,"Summer","CC1108","93.0","SB04","DIFAR",2011-07-27,1899-12-31 22:00:00,"Poor","lots to tons","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,"starts 22:23:06",4,"static takes over 7min48s in every 10 min","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2004,"Fall","CC041","90.0","SB15","OMNI",2004-11-09,1899-12-31 19:00:00,"High**","bit to lots**","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,NA,6,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2009,"Winter","CC0901","90.0","SB11","OMNI",2009-01-14,1899-12-31 01:00:00,"Poor","tons","1,2,3,A,B","No",0,0,0,0,0,0,0,0,"ends 1:43:00",5,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,NA,-118.24971,33.25128,344
28,2004,"Fall","CC041","90.0","SB15","OMNI",2004-11-09,1899-12-31 20:00:00,"High**","bit to lots**","1,2,3,A,B","Yes",1,0,0,0,0,0,0,0,"ends 20:31:20",4,"static takes over 5min 11sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Blue Whale",-118.24971,33.25128,344
28,2008,"Summer","CC0808","90.0","SB13","OMNI",2008-08-20,1899-12-31 20:00:00,"Poor","lots to tons","1,2,3,A,B","Yes",1,0,0,1,0,1,0,0,NA,6,"static takes over 7min 48sec into each 10min file","wav files, cts","60s","500Hz","0Hz",1500,0.98,"Fin Whale",-118.24971,33.25128,344
