"Line","Station","Cruise","Year","Effort","Latitude","Longitude"
60,60,"CC0602",2006,8,37.6141,-123.60825
60,60,"CC1101",2011,14,37.6141,-123.60825
70,55,"CC1101",2011,20,36.04872,-122.01048
70,60,"CC0611",2006,13,35.88205,-122.36556
70,70,"CC1001",2010,3,35.54872,-123.07348
70,80,"CC1101",2011,17,35.21538,-123.77843
70,80,"CC1001",2010,3,35.21538,-123.77843
70,90,"CC1101",2011,6,34.88205,-124.48047
80,100,"CC0707",2007,14,32.81667,-123.90599
80,100,"CC1110",2011,10,32.81667,-123.90599
80,100,"CC1001",2010,5,32.81667,-123.90599
80,100,"CC1104",2011,12,32.81667,-123.90599
80,100,"CC0611",2006,24,32.81667,-123.90599
80,100,"CC1108",2011,17,32.81667,-123.90599
80,100,"CC0511",2005,15,32.81667,-123.90599
80,100,"CC0602",2006,18,32.81667,-123.90599
80,100,"CC0411",2004,18,32.81667,-123.90599
80,100,"CC0404",2004,10,32.81667,-123.90599
80,100,"CC1210",2012,3,32.81667,-123.90599
80,100,"CC0907",2009,11,32.81667,-123.90599
80,100,"CC0507",2005,16,32.81667,-123.90599
80,100,"CC0504",2005,8,32.81667,-123.90599
80,100,"CC1011",2010,5,32.81667,-123.90599
80,100,"CC0810",2008,17,32.81667,-123.90599
80,50.5,"CC1108",2011,13,34.46667,-120.48906
80,51,"CC0411",2004,14,34.45,-120.5239
80,51,"CC0704",2007,14,34.45,-120.5239
80,51,"CC1008",2010,34,34.45,-120.5239
80,51,"CC0604",2006,12,34.45,-120.5239
80,51,"CC0911",2009,12,34.45,-120.5239
80,51,"CC0607",2006,6,34.45,-120.5239
80,51,"CC0901",2009,23,34.45,-120.5239
80,51,"CC0808",2008,8,34.45,-120.5239
80,51,"CC1203",2012,8,34.45,-120.5239
80,55,"CC0504",2005,20,34.31667,-120.80245
80,55,"CC0407",2004,12,34.31667,-120.80245
80,55,"CC0907",2009,8,34.31667,-120.80245
80,55,"CC1101",2011,14,34.31667,-120.80245
80,55,"CC1207",2012,5,34.31667,-120.80245
80,55,"CC1008",2010,31,34.31667,-120.80245
80,55,"CC0801",2008,15,34.31667,-120.80245
80,55,"CC0607",2006,11,34.31667,-120.80245
80,55,"CC0711",2007,12,34.31667,-120.80245
80,55,"CC1202",2012,18,34.31667,-120.80245
80,55,"CC1203",2012,7,34.31667,-120.80245
80,55,"CC0707",2007,16,34.31667,-120.80245
80,60,"CC1203",2012,8,34.15,-121.15
80,60,"CC0602",2006,10,34.15,-121.15
80,60,"CC0611",2006,16,34.15,-121.15
80,60,"CC0511",2005,14,34.15,-121.15
80,60,"CC0907",2009,4,34.15,-121.15
80,60,"CC0801",2008,7,34.15,-121.15
80,60,"CC0711",2007,14,34.15,-121.15
80,60,"CC0411",2004,20,34.15,-121.15
80,60,"CC0707",2007,12,34.15,-121.15
80,60,"CC0810",2008,7,34.15,-121.15
80,60,"CC1210",2012,4,34.15,-121.15
80,70,"CC0903",2009,16,33.81667,-121.84304
80,70,"CC0901",2009,13,33.81667,-121.84304
80,70,"CC0604",2006,25,33.81667,-121.84304
80,70,"CC0504",2005,19,33.81667,-121.84304
80,70,"CC0611",2006,14,33.81667,-121.84304
80,70,"CC0602",2006,11,33.81667,-121.84304
80,70,"CC1210",2012,4,33.81667,-121.84304
80,70,"CC1001",2010,6,33.81667,-121.84304
80,70,"CC0810",2008,8,33.81667,-121.84304
80,70,"CC1011",2010,7,33.81667,-121.84304
80,70,"CC0511",2005,10,33.81667,-121.84304
80,70,"CC0501",2005,15,33.81667,-121.84304
80,70,"CC0907",2009,7,33.81667,-121.84304
80,70,"CC1110",2011,16,33.81667,-121.84304
80,70,"CC1108",2011,26,33.81667,-121.84304
80,70,"CC0411",2004,18,33.81667,-121.84304
80,70,"CC0507",2005,17,33.81667,-121.84304
80,70,"CC0404",2004,6,33.81667,-121.84304
80,80,"CC1207",2012,9,33.48333,-122.53335
80,80,"CC1202",2012,18,33.48333,-122.53335
80,80,"CC0501",2005,15,33.48333,-122.53335
80,80,"CC0607",2006,8,33.48333,-122.53335
80,80,"CC0911",2009,17,33.48333,-122.53335
80,80,"CC1011",2010,6,33.48333,-122.53335
80,80,"CC0404",2004,9,33.48333,-122.53335
80,80,"CC0903",2009,16,33.48333,-122.53335
80,80,"CC1008",2010,16,33.48333,-122.53335
80,80,"CC0611",2006,4,33.48333,-122.53335
80,80,"CC1203",2012,7,33.48333,-122.53335
80,80,"CC0604",2006,18,33.48333,-122.53335
80,80,"CC0808",2008,15,33.48333,-122.53335
80,80,"CC0704",2007,20,33.48333,-122.53335
80,80,"CC0507",2005,16,33.48333,-122.53335
80,90,"CC1202",2012,12,33.15,-123.22099
80,90,"CC1207",2012,6,33.15,-123.22099
80,90,"CC0907",2009,4,33.15,-123.22099
80,90,"CC1101",2011,34,33.15,-123.22099
80,90,"CC0808",2008,16,33.15,-123.22099
80,90,"CC0711",2007,13,33.15,-123.22099
80,90,"CC1008",2010,24,33.15,-123.22099
80,90,"CC0607",2006,7,33.15,-123.22099
80,90,"CC0504",2005,20,33.15,-123.22099
80,90,"CC0707",2007,13,33.15,-123.22099
80,90,"CC1104",2011,10,33.15,-123.22099
80,90,"CC0801",2008,16,33.15,-123.22099
80,90,"CC0411",2004,23,33.15,-123.22099
80,90,"CC1203",2012,8,33.15,-123.22099
90,100,"CC0407",2004,19,31.08462,-122.66202
90,100,"CC0911",2009,34,31.08462,-122.66202
90,100,"CC0907",2009,14,31.08462,-122.66202
90,100,"CC0504",2005,26,31.08462,-122.66202
90,100,"CC1202",2012,11,31.08462,-122.66202
90,100,"CC0604",2006,13,31.08462,-122.66202
90,100,"CC1011",2010,4,31.08462,-122.66202
