Order Occ,Line,Sta,Station_key,Lat (dec),Lat (deg),Lat (min),Lat (deg min),Lon (dec),Lon (deg),Lon (min),Lon (deg min),Est Depth,Sta Type
1,93.3,26.7,93.3_26.7,32.95637,32,57.4,32 57.38,-117.30538,117,18.3,117 18.32,63,ROS
2,93.4,26.4,93.4_26.4,32.94905,32,56.9,32 56.94,-117.27357,117,16.4,117 16.41,20,SCCOOS
3,91.7,26.4,91.7_26.4,33.2435,33,14.6,33 14.61,-117.46542,117,27.9,117 27.93,20,SCCOOS
4,93.3,28,93.3_28,32.91304,32,54.8,32 54.78,-117.39438,117,23.7,117 23.66,609,ROS
5,93.3,30,93.3_30,32.84637,32,50.8,32 50.78,-117.53122,117,31.9,117 31.87,846,ROS
6,93.3,35,93.3_35,32.67971,32,40.8,32 40.78,-117.87286,117,52.4,117 52.37,616,ROS
7,93.3,40,93.3_40,32.51304,32,30.8,32 30.78,-118.21386,118,12.8,118 12.83,1627,ROS
8,93.3,45,93.3_45,32.34637,32,20.8,32 20.78,-118.55423,118,33.3,118 33.25,1376,ROS
9,93.3,50,93.3_50,32.17971,32,10.8,32 10.78,-118.89396,118,53.6,118 53.64,1452,ROS
10,93.3,55,93.3_55,32.01304,32,0.8,32 0.78,-119.23306,119,14,119 13.98,1588,ROS
11,93.3,60,93.3_60,31.84637,31,50.8,31 50.78,-119.57154,119,34.3,119 34.29,1899,ROS
12,93.3,70,93.3_70,31.51304,31,30.8,31 30.78,-120.24666,120,14.8,120 14.80,3931,ROS
13,93.3,80,93.3_80,31.17971,31,10.8,31 10.78,-120.91935,120,55.2,120 55.16,3848,ROS
14,93.3,90,93.3_90,30.84637,30,50.8,30 50.78,-121.58965,121,35.4,121 35.38,4109,ROS
15,93.3,100,93.3_100,30.51304,30,30.8,30 30.78,-122.2576,122,15.5,122 15.46,4132,ROS
16,93.3,110,93.3_110,30.17971,30,10.8,30 10.78,-122.92324,122,55.4,122 55.39,3868,ROS
17,93.3,120,93.3_120,29.84637,29,50.8,29 50.78,-123.58661,123,35.2,123 35.20,4061,ROS
18,90,120,90_120,30.41795,30,25.1,30 25.08,-123.99893,123,59.9,123 59.94,4141,ROS
19,90,110,90_110,30.75128,30,45.1,30 45.08,-123.33164,123,19.9,123 19.90,4017,ROS
20,90,100,90_100,31.08462,31,5.1,31 5.08,-122.66202,122,39.7,122 39.72,3997,ROS
21,90,90,90_90,31.41795,31,25.1,31 25.08,-121.99001,121,59.4,121 59.40,3879,ROS
22,90,80,90_80,31.75128,31,45.1,31 45.08,-121.31559,121,18.9,121 18.94,3694,ROS
23,90,70,90_70,32.08462,32,5.1,32 5.08,-120.63872,120,38.3,120 38.32,3806,ROS
24,90,60,90_60,32.41795,32,25.1,32 25.08,-119.95935,119,57.6,119 57.56,880,ROS
25,90,53,90_53,32.65128,32,39.1,32 39.08,-119.48228,119,28.9,119 28.94,1309,ROS
26,90,45,90_45,32.91795,32,55.1,32 55.08,-118.93551,118,56.1,118 56.13,1695,ROS
27,90,37,90_37,33.18462,33,11.1,33 11.08,-118.38708,118,23.2,118 23.22,1177,ROS
28,90,35,90_35,33.25128,33,15.1,33 15.08,-118.24971,118,15,118 14.98,344,ROS
29,90,30,90_30,33.41795,33,25.1,33 25.08,-117.90582,117,54.3,117 54.35,613,ROS
30,90,28,90_28,33.48462,33,29.1,33 29.08,-117.76808,117,46.1,117 46.08,63,ROS
31,90,27.7,90_27.7,33.49462,33,29.7,33 29.68,-117.74741,117,44.8,117 44.84,20,SCCOOS
32,88.5,30.1,88.5_30.1,33.67442,33,40.5,33 40.47,-118.08369,118,5,118 5.02,20,SCCOOS
