Year,Season,Cruise,CC Line,CC Station,SB#,D/O?,Date,Hour,Quality,Sarah's scale (amt of background),Types of Background,Detections?,Spp. Detected,Blue B,Blue D,Fin 20Hz Singular,Fin 20Hz Song,Fin C.C.,Fin H.C.,Humpback Song,Humpback Non-song,Start/End,Hour spans,Comments,Scan Method,Time window,Top freq,Low Freq,FFT Length,Overlap
2012,Fall,CC1210NH,90,110,SB13,DIFAR,10/23/12,15:00:00,High,bit,"1,2,3,A,B ",adhoc only,,0,0,0,0,0,0,0,0,starts 15:30,1,,"wav file, cts",60s,400Hz-1000Hz,0Hz,3000,98%
2012,Fall,CC1210NH,90,110,SB13,DIFAR,10/23/12,16:00:00,High,bit,"1,2,3",No,,0,0,0,0,0,0,0,0,,1,,"wav file, cts",60s,400Hz-1000Hz,0Hz,3000,98%
2012,Fall,CC1210NH,90,110,SB13,DIFAR,10/23/12,17:00:00,High,bit,"1,2,3",adhoc only,,0,0,0,0,0,0,0,0,,1,,"wav file, cts",60s,400Hz-1000Hz,0Hz,4000,98%
2012,Fall,CC1210NH,90,110,SB13,DIFAR,10/23/12,18:00:00,High,bit,"1,2,3,A",adhoc only,,0,0,0,0,0,0,0,0,ends 18:08:49,1,,"wav file, cts",60s,400Hz-1000Hz,0Hz,4000,98%
2012,Fall,CC1210NH,90,100,SB15,DIFAR,10/23/12,22:00:00,High,bit,"1,2,3",No,,0,0,0,0,0,0,0,0,starts 22:00:55,1,,"wav file, cts",60s,400Hz-1000Hz,0Hz,3500,98%
2012,Fall,CC1210NH,90,100,SB15,DIFAR,10/23/12,23:00:00,High,lots,"1,2,3",No,,0,0,0,0,0,0,0,0,,1,,"wav file, cts",60s,400Hz-1000Hz,0Hz,3500,98%
2012,Fall,CC1210NH,90,100,SB15,DIFAR,10/24/12,0:00:00,High,lots,"1,2,3",No,,0,0,0,0,0,0,0,0,ends 00:27:00,1,,"wav file, cts",60s,500Hz,0Hz,3500,98%
2012,Fall,CC1210NH,90,70,SB17,DIFAR,10/24/12,19:00:00,High,bit,"1,2,3",No,,0,0,0,0,0,0,0,0,starts 19:04:36,1,,"wav file, cts",60s,500Hz,0Hz,3000,98%
2012,Fall,CC1210NH,90,70,SB17,DIFAR,10/24/12,20:00:00,Medium,lots,"1,2,3",adhoc only,,0,0,0,0,0,0,0,0,,1,,"wav file, cts",60s,500Hz,0Hz,3000,98%
2012,Fall,CC1210NH,90,70,SB17,DIFAR,10/24/12,21:00:00,High,bit,"1,2,3",Yes ,"Blue, Fin",0,1,0,0,0,1,0,0,ends 21:38:00,1,,"wav file, cts",60s,500Hz,0Hz,3000,98%
