"Year","Cruise","Season","Line","Station","SpeciesName","presence","effort"
2004,"CC0404","Spring",83,60,"Humpback whale",1,3
2004,"CC0411","Fall",83,60,"Blue whale",5,5
2004,"CC0411","Fall",83,60,"Fin whale",5,5
2005,"CC0501","Winter",83,60,"Blue whale",3,3
2005,"CC0501","Winter",83,60,"Humpback whale",3,3
2005,"CC0501","Winter",83,60,"Fin whale",1,3
2005,"CC0507","Summer",83,60,"Humpback whale",4,4
2005,"CC0511","Fall",83,60,"Blue whale",1,3
2005,"CC0511","Fall",83,60,"Fin whale",1,3
2006,"CC0602","Winter",83,60,"Humpback whale",1,3
2006,"CC0611","Fall",83,60,"Fin whale",4,4
2008,"CC0808","Summer",83,60,"Blue whale",4,4
2008,"CC0808","Summer",83,60,"Fin whale",4,4
2009,"CC0903","Spring",83,60,"Humpback whale",1,3
2009,"CC0911","Fall",83,60,"Fin whale",1,3
2009,"CC0911","Fall",83,60,"Humpback whale",1,3
2010,"CC1001","Winter",83,60,"Humpback whale",4,4
2010,"CC1001","Winter",83,60,"Fin whale",3,4
2010,"CC1008","Summer",83,60,"Fin whale",2,5
2010,"CC1008","Summer",83,60,"Blue whale",1,5
2010,"CC1008","Summer",83,60,"Humpback whale",1,5
2011,"CC1104","Spring",83,60,"Humpback whale",3,4
2011,"CC1110","Fall",83,60,"Blue whale",3,5
2011,"CC1110","Fall",83,60,"Fin whale",5,5
2012,"CC1210","Fall",83,60,"Fin whale",3,3
2012,"CC1210","Fall",83,60,"Blue whale",2,3
2004,"CC0407","Summer",83,80,"Blue whale",3,4
2007,"CC0704","Spring",83,80,"Humpback whale",2,3
2008,"CC0801","Winter",83,80,"Fin whale",3,3
2008,"CC0801","Winter",83,80,"Humpback whale",3,3
2008,"CC0808","Summer",83,80,"Blue whale",3,3
2009,"CC0901","Winter",83,80,"Humpback whale",3,4
2009,"CC0901","Winter",83,80,"Fin whale",1,4
2011,"CC1101","Winter",83,80,"Humpback whale",3,3
2012,"CC1210","Fall",83,80,"Humpback whale",2,4
2004,"CC0404","Spring",83,90,"Humpback whale",2,3
2004,"CC0411","Fall",83,90,"Fin whale",1,5
2006,"CC0604","Spring",83,90,"Humpback whale",3,4
2006,"CC0607","Summer",83,90,"Blue whale",1,3
2008,"CC0808","Summer",83,90,"Blue whale",3,3
2008,"CC0808","Summer",83,90,"Fin whale",1,3
2009,"CC0901","Winter",83,90,"Humpback whale",2,3
2009,"CC0901","Winter",83,90,"Fin whale",1,3
2010,"CC1001","Winter",83,90,"Fin whale",4,6
2010,"CC1001","Winter",83,90,"Humpback whale",4,6
2010,"CC1008","Summer",83,90,"Fin whale",1,4
2011,"CC1104","Spring",83,90,"Humpback whale",2,3
2012,"CC1202","Winter",83,90,"Humpback whale",4,5
2004,"CC0411","Fall",83,55,"Fin whale",5,5
2006,"CC0607","Summer",83,55,"Blue whale",1,2
