"Line","Station","Cruise","Year","Effort","Latitude","Longitude"
60,60,"CC0602",2006,2,37.6141,-123.60825
60,60,"CC1101",2011,3,37.6141,-123.60825
63,60,"CC0602",2006,3,37.04252,-123.19502
63,70,"CC0602",2006,2,36.70919,-123.91364
63,80,"CC1101",2011,3,36.37586,-124.62912
67,50,"CC1001",2010,4,36.78696,-122.05633
67,50,"CC1004",2010,6,36.78696,-122.05633
67,65,"CC0602",2006,2,36.28696,-123.12948
67,70,"CC0602",2006,1,36.12029,-123.48565
67,70,"CC1004",2010,4,36.12029,-123.48565
67,70,"CC1101",2011,3,36.12029,-123.48565
67,75,"CC0602",2006,2,35.95363,-123.84106
67,75,"CC1001",2010,3,35.95363,-123.84106
67,75,"CC1004",2010,6,35.95363,-123.84106
67,75,"CC1101",2011,3,35.95363,-123.84106
67,80,"CC1001",2010,2,35.78696,-124.19571
70,55,"CC1101",2011,3,36.04872,-122.01048
70,60,"CC0611",2006,3,35.88205,-122.36556
70,70,"CC1001",2010,3,35.54872,-123.07348
70,80,"CC1001",2010,3,35.21538,-123.77843
70,80,"CC1101",2011,3,35.21538,-123.77843
70,90,"CC1101",2011,1,34.88205,-124.48047
73,50,"CC0602",2006,2,35.64381,-121.25575
73,55,"CC1004",2010,3,35.47714,-121.60901
73,60,"CC1001",2010,4,35.31047,-121.96154
73,60,"CC1004",2010,4,35.31047,-121.96154
73,60,"CC1101",2011,4,35.31047,-121.96154
73,70,"CC1004",2010,4,34.97714,-122.6644
73,70,"CC1101",2011,2,34.97714,-122.6644
73,80,"CC0602",2006,2,34.64381,-123.36439
73,80,"CC1004",2010,3,34.64381,-123.36439
73,90,"CC1004",2010,6,34.31047,-124.06154
73,90,"CC1008",2010,4,34.31047,-124.06154
77,49,"CC0404",2004,3,35.08824,-120.7774
77,49,"CC0411",2004,3,35.08824,-120.7774
77,49,"CC0504",2005,3,35.08824,-120.7774
77,49,"CC0707",2007,2,35.08824,-120.7774
77,49,"CC0808",2008,2,35.08824,-120.7774
77,49,"CC1101",2011,2,35.08824,-120.7774
77,49,"CC1108",2011,3,35.08824,-120.7774
77,49,"CC1203",2012,2,35.08824,-120.7774
77,51,"CC0411",2004,3,35.02158,-120.91782
77,51,"CC0607",2006,1,35.02158,-120.91782
77,51,"CC0808",2008,4,35.02158,-120.91782
77,51,"CC1001",2010,4,35.02158,-120.91782
77,51,"CC1202",2012,5,35.02158,-120.91782
77,51,"CC1203",2012,3,35.02158,-120.91782
77,51,"CC1207",2012,3,35.02158,-120.91782
77,55,"CC0411",2004,5,34.88824,-121.19831
77,55,"CC0501",2005,3,34.88824,-121.19831
77,55,"CC0507",2005,2,34.88824,-121.19831
77,55,"CC0604",2006,4,34.88824,-121.19831
77,55,"CC0607",2006,3,34.88824,-121.19831
77,55,"CC0808",2008,4,34.88824,-121.19831
77,55,"CC0901",2009,3,34.88824,-121.19831
77,55,"CC0907",2009,3,34.88824,-121.19831
77,55,"CC1101",2011,3,34.88824,-121.19831
77,55,"CC1202",2012,6,34.88824,-121.19831
77,55,"CC1207",2012,3,34.88824,-121.19831
77,60,"CC0411",2004,5,34.72158,-121.54828
77,60,"CC0501",2005,3,34.72158,-121.54828
77,60,"CC0507",2005,4,34.72158,-121.54828
77,60,"CC0511",2005,1,34.72158,-121.54828
77,60,"CC0604",2006,3,34.72158,-121.54828
77,60,"CC0607",2006,3,34.72158,-121.54828
77,60,"CC0711",2007,3,34.72158,-121.54828
77,60,"CC0810",2008,2,34.72158,-121.54828
77,60,"CC0901",2009,3,34.72158,-121.54828
77,60,"CC0903",2009,3,34.72158,-121.54828
77,60,"CC1108",2011,2,34.72158,-121.54828
77,60,"CC1207",2012,6,34.72158,-121.54828
77,70,"CC0404",2004,3,34.38824,-122.24608
77,70,"CC0411",2004,4,34.38824,-122.24608
77,70,"CC0504",2005,4,34.38824,-122.24608
77,70,"CC0507",2005,4,34.38824,-122.24608
77,70,"CC0511",2005,2,34.38824,-122.24608
77,70,"CC0602",2006,3,34.38824,-122.24608
77,70,"CC0611",2006,6,34.38824,-122.24608
77,70,"CC0707",2007,1,34.38824,-122.24608
77,70,"CC0810",2008,2,34.38824,-122.24608
77,70,"CC0907",2009,3,34.38824,-122.24608
77,70,"CC1001",2010,4,34.38824,-122.24608
77,70,"CC1104",2011,4,34.38824,-122.24608
77,70,"CC1108",2011,4,34.38824,-122.24608
77,70,"CC1210",2012,3,34.38824,-122.24608
77,80,"CC0404",2004,1,34.05491,-122.94109
77,80,"CC0411",2004,5,34.05491,-122.94109
77,80,"CC0504",2005,3,34.05491,-122.94109
77,80,"CC0602",2006,2,34.05491,-122.94109
77,80,"CC0607",2006,3,34.05491,-122.94109
77,80,"CC0707",2007,3,34.05491,-122.94109
77,80,"CC0801",2008,2,34.05491,-122.94109
77,80,"CC0808",2008,7,34.05491,-122.94109
77,80,"CC1001",2010,5,34.05491,-122.94109
77,80,"CC1011",2010,2,34.05491,-122.94109
77,80,"CC1101",2011,3,34.05491,-122.94109
77,80,"CC1104",2011,4,34.05491,-122.94109
77,80,"CC1203",2012,3,34.05491,-122.94109
77,90,"CC0411",2004,5,33.72158,-123.63335
77,90,"CC0507",2005,2,33.72158,-123.63335
77,90,"CC0604",2006,3,33.72158,-123.63335
77,90,"CC0607",2006,4,33.72158,-123.63335
77,90,"CC0711",2007,2,33.72158,-123.63335
77,90,"CC0801",2008,2,33.72158,-123.63335
77,90,"CC0901",2009,4,33.72158,-123.63335
77,90,"CC0903",2009,1,33.72158,-123.63335
77,90,"CC1101",2011,2,33.72158,-123.63335
77,90,"CC1202",2012,7,33.72158,-123.63335
77,90,"CC1203",2012,3,33.72158,-123.63335
77,100,"CC0404",2004,3,33.38824,-124.32289
77,100,"CC0411",2004,4,33.38824,-124.32289
77,100,"CC0501",2005,3,33.38824,-124.32289
77,100,"CC0507",2005,3,33.38824,-124.32289
77,100,"CC0511",2005,2,33.38824,-124.32289
77,100,"CC0604",2006,3,33.38824,-124.32289
77,100,"CC0611",2006,3,33.38824,-124.32289
77,100,"CC0810",2008,2,33.38824,-124.32289
77,100,"CC0901",2009,4,33.38824,-124.32289
77,100,"CC0903",2009,3,33.38824,-124.32289
77,100,"CC1001",2010,3,33.38824,-124.32289
77,100,"CC1011",2010,5,33.38824,-124.32289
77,100,"CC1108",2011,3,33.38824,-124.32289
77,100,"CC1207",2012,1,33.38824,-124.32289
77,100,"CC1210",2012,4,33.38824,-124.32289
80,50.5,"CC1108",2011,3,34.46667,-120.48906
80,51,"CC0411",2004,3,34.45,-120.5239
80,51,"CC0604",2006,3,34.45,-120.5239
80,51,"CC0607",2006,2,34.45,-120.5239
80,51,"CC0704",2007,3,34.45,-120.5239
80,51,"CC0808",2008,2,34.45,-120.5239
80,51,"CC0901",2009,5,34.45,-120.5239
80,51,"CC0911",2009,3,34.45,-120.5239
80,51,"CC1008",2010,6,34.45,-120.5239
80,51,"CC1203",2012,3,34.45,-120.5239
80,55,"CC0407",2004,3,34.31667,-120.80245
80,55,"CC0504",2005,4,34.31667,-120.80245
80,55,"CC0607",2006,3,34.31667,-120.80245
80,55,"CC0707",2007,4,34.31667,-120.80245
80,55,"CC0711",2007,3,34.31667,-120.80245
80,55,"CC0801",2008,4,34.31667,-120.80245
80,55,"CC0907",2009,2,34.31667,-120.80245
80,55,"CC1008",2010,5,34.31667,-120.80245
80,55,"CC1101",2011,3,34.31667,-120.80245
80,55,"CC1202",2012,6,34.31667,-120.80245
80,55,"CC1203",2012,3,34.31667,-120.80245
80,55,"CC1207",2012,4,34.31667,-120.80245
80,60,"CC0411",2004,4,34.15,-121.15
80,60,"CC0511",2005,4,34.15,-121.15
80,60,"CC0602",2006,2,34.15,-121.15
80,60,"CC0611",2006,3,34.15,-121.15
80,60,"CC0707",2007,3,34.15,-121.15
80,60,"CC0711",2007,3,34.15,-121.15
80,60,"CC0801",2008,2,34.15,-121.15
80,60,"CC0810",2008,2,34.15,-121.15
80,60,"CC0907",2009,1,34.15,-121.15
80,60,"CC1203",2012,3,34.15,-121.15
80,60,"CC1210",2012,4,34.15,-121.15
80,70,"CC0404",2004,1,33.81667,-121.84304
80,70,"CC0411",2004,4,33.81667,-121.84304
80,70,"CC0501",2005,3,33.81667,-121.84304
80,70,"CC0504",2005,4,33.81667,-121.84304
80,70,"CC0507",2005,3,33.81667,-121.84304
80,70,"CC0511",2005,2,33.81667,-121.84304
80,70,"CC0602",2006,3,33.81667,-121.84304
80,70,"CC0604",2006,5,33.81667,-121.84304
80,70,"CC0611",2006,3,33.81667,-121.84304
80,70,"CC0810",2008,2,33.81667,-121.84304
80,70,"CC0901",2009,3,33.81667,-121.84304
80,70,"CC0903",2009,4,33.81667,-121.84304
80,70,"CC0907",2009,2,33.81667,-121.84304
80,70,"CC1001",2010,5,33.81667,-121.84304
80,70,"CC1011",2010,5,33.81667,-121.84304
80,70,"CC1108",2011,5,33.81667,-121.84304
80,70,"CC1110",2011,5,33.81667,-121.84304
80,70,"CC1210",2012,4,33.81667,-121.84304
80,80,"CC0404",2004,3,33.48333,-122.53335
80,80,"CC0501",2005,3,33.48333,-122.53335
80,80,"CC0507",2005,3,33.48333,-122.53335
80,80,"CC0604",2006,4,33.48333,-122.53335
80,80,"CC0607",2006,2,33.48333,-122.53335
80,80,"CC0611",2006,1,33.48333,-122.53335
80,80,"CC0704",2007,4,33.48333,-122.53335
80,80,"CC0808",2008,3,33.48333,-122.53335
80,80,"CC0903",2009,3,33.48333,-122.53335
80,80,"CC0911",2009,3,33.48333,-122.53335
80,80,"CC1008",2010,3,33.48333,-122.53335
80,80,"CC1011",2010,4,33.48333,-122.53335
80,80,"CC1202",2012,6,33.48333,-122.53335
80,80,"CC1203",2012,3,33.48333,-122.53335
80,80,"CC1207",2012,6,33.48333,-122.53335
80,90,"CC0411",2004,5,33.15,-123.22099
80,90,"CC0504",2005,4,33.15,-123.22099
80,90,"CC0607",2006,2,33.15,-123.22099
80,90,"CC0707",2007,3,33.15,-123.22099
80,90,"CC0711",2007,3,33.15,-123.22099
80,90,"CC0801",2008,3,33.15,-123.22099
80,90,"CC0808",2008,4,33.15,-123.22099
80,90,"CC0907",2009,2,33.15,-123.22099
80,90,"CC1008",2010,4,33.15,-123.22099
80,90,"CC1101",2011,6,33.15,-123.22099
80,90,"CC1104",2011,3,33.15,-123.22099
80,90,"CC1202",2012,4,33.15,-123.22099
80,90,"CC1203",2012,3,33.15,-123.22099
80,90,"CC1207",2012,4,33.15,-123.22099
80,100,"CC0404",2004,3,32.81667,-123.90599
80,100,"CC0411",2004,4,32.81667,-123.90599
80,100,"CC0504",2005,2,32.81667,-123.90599
80,100,"CC0507",2005,3,32.81667,-123.90599
80,100,"CC0511",2005,4,32.81667,-123.90599
80,100,"CC0602",2006,4,32.81667,-123.90599
80,100,"CC0611",2006,5,32.81667,-123.90599
80,100,"CC0707",2007,4,32.81667,-123.90599
80,100,"CC0810",2008,4,32.81667,-123.90599
80,100,"CC0907",2009,2,32.81667,-123.90599
80,100,"CC1001",2010,4,32.81667,-123.90599
80,100,"CC1011",2010,4,32.81667,-123.90599
80,100,"CC1104",2011,4,32.81667,-123.90599
80,100,"CC1108",2011,4,32.81667,-123.90599
80,100,"CC1110",2011,3,32.81667,-123.90599
80,100,"CC1210",2012,3,32.81667,-123.90599
83,42,"CC0407",2004,3,34.17842,-119.50851
83,42,"CC0501",2005,2,34.17842,-119.50851
83,42,"CC0504",2005,4,34.17842,-119.50851
83,42,"CC0507",2005,3,34.17842,-119.50851
83,42,"CC0511",2005,4,34.17842,-119.50851
83,42,"CC0611",2006,4,34.17842,-119.50851
83,42,"CC0711",2007,2,34.17842,-119.50851
83,42,"CC0810",2008,2,34.17842,-119.50851
83,42,"CC1110",2011,4,34.17842,-119.50851
83,42,"CC1207",2012,4,34.17842,-119.50851
83,42,"CC1210",2012,3,34.17842,-119.50851
83,51,"CC0607",2006,2,33.87842,-120.13258
83,51,"CC0707",2007,3,33.87842,-120.13258
83,51,"CC0801",2008,3,33.87842,-120.13258
83,51,"CC0803",2008,3,33.87842,-120.13258
83,51,"CC0808",2008,4,33.87842,-120.13258
83,51,"CC0907",2009,2,33.87842,-120.13258
83,51,"CC0911",2009,3,33.87842,-120.13258
83,51,"CC1008",2010,6,33.87842,-120.13258
83,51,"CC1202",2012,3,33.87842,-120.13258
83,51,"CC1207",2012,4,33.87842,-120.13258
83,55,"CC0411",2004,5,33.74509,-120.40923
83,55,"CC0604",2006,4,33.74509,-120.40923
83,55,"CC0607",2006,2,33.74509,-120.40923
83,55,"CC0611",2006,3,33.74509,-120.40923
83,55,"CC0707",2007,3,33.74509,-120.40923
83,55,"CC0801",2008,3,33.74509,-120.40923
83,55,"CC0803",2008,3,33.74509,-120.40923
83,55,"CC0901",2009,4,33.74509,-120.40923
83,55,"CC0911",2009,2,33.74509,-120.40923
83,55,"CC1001",2010,3,33.74509,-120.40923
83,55,"CC1008",2010,5,33.74509,-120.40923
83,55,"CC1101",2011,4,33.74509,-120.40923
83,55,"CC1202",2012,3,33.74509,-120.40923
83,60,"CC0404",2004,3,33.57842,-120.75443
83,60,"CC0411",2004,5,33.57842,-120.75443
83,60,"CC0501",2005,3,33.57842,-120.75443
83,60,"CC0507",2005,4,33.57842,-120.75443
83,60,"CC0511",2005,3,33.57842,-120.75443
83,60,"CC0602",2006,3,33.57842,-120.75443
83,60,"CC0604",2006,3,33.57842,-120.75443
83,60,"CC0611",2006,4,33.57842,-120.75443
83,60,"CC0808",2008,4,33.57842,-120.75443
83,60,"CC0903",2009,3,33.57842,-120.75443
83,60,"CC0911",2009,3,33.57842,-120.75443
83,60,"CC1001",2010,4,33.57842,-120.75443
83,60,"CC1008",2010,5,33.57842,-120.75443
83,60,"CC1104",2011,4,33.57842,-120.75443
83,60,"CC1108",2011,4,33.57842,-120.75443
83,60,"CC1110",2011,5,33.57842,-120.75443
83,60,"CC1210",2012,3,33.57842,-120.75443
83,70,"CC0404",2004,3,33.24509,-121.44283
83,70,"CC0407",2004,3,33.24509,-121.44283
83,70,"CC0501",2005,3,33.24509,-121.44283
83,70,"CC0504",2005,4,33.24509,-121.44283
83,70,"CC0507",2005,3,33.24509,-121.44283
83,70,"CC0511",2005,3,33.24509,-121.44283
83,70,"CC0602",2006,2,33.24509,-121.44283
83,70,"CC0704",2007,4,33.24509,-121.44283
83,70,"CC0711",2007,3,33.24509,-121.44283
83,70,"CC0801",2008,3,33.24509,-121.44283
83,70,"CC0810",2008,3,33.24509,-121.44283
83,70,"CC0903",2009,4,33.24509,-121.44283
83,70,"CC0907",2009,2,33.24509,-121.44283
83,70,"CC1104",2011,4,33.24509,-121.44283
83,70,"CC1110",2011,4,33.24509,-121.44283
83,70,"CC1203",2012,3,33.24509,-121.44283
83,80,"CC0407",2004,4,32.91176,-122.12858
83,80,"CC0411",2004,4,32.91176,-122.12858
83,80,"CC0607",2006,3,32.91176,-122.12858
83,80,"CC0704",2007,3,32.91176,-122.12858
83,80,"CC0801",2008,3,32.91176,-122.12858
83,80,"CC0808",2008,3,32.91176,-122.12858
83,80,"CC0901",2009,4,32.91176,-122.12858
83,80,"CC0907",2009,3,32.91176,-122.12858
83,80,"CC1008",2010,4,32.91176,-122.12858
83,80,"CC1101",2011,3,32.91176,-122.12858
83,80,"CC1207",2012,12,32.91176,-122.12858
83,80,"CC1210",2012,4,32.91176,-122.12858
83,90,"CC0404",2004,3,32.57842,-122.81173
83,90,"CC0411",2004,5,32.57842,-122.81173
83,90,"CC0604",2006,4,32.57842,-122.81173
83,90,"CC0607",2006,3,32.57842,-122.81173
83,90,"CC0611",2006,4,32.57842,-122.81173
83,90,"CC0808",2008,3,32.57842,-122.81173
83,90,"CC0901",2009,3,32.57842,-122.81173
83,90,"CC0903",2009,3,32.57842,-122.81173
83,90,"CC0911",2009,3,32.57842,-122.81173
83,90,"CC1001",2010,6,32.57842,-122.81173
83,90,"CC1008",2010,4,32.57842,-122.81173
83,90,"CC1011",2010,3,32.57842,-122.81173
83,90,"CC1104",2011,3,32.57842,-122.81173
83,90,"CC1108",2011,2,32.57842,-122.81173
83,90,"CC1202",2012,5,32.57842,-122.81173
83,100,"CC0501",2005,3,32.24509,-123.49232
83,100,"CC0507",2005,3,32.24509,-123.49232
83,100,"CC0602",2006,3,32.24509,-123.49232
83,100,"CC0604",2006,4,32.24509,-123.49232
83,100,"CC0611",2006,3,32.24509,-123.49232
83,100,"CC0711",2007,3,32.24509,-123.49232
83,100,"CC0810",2008,2,32.24509,-123.49232
83,100,"CC0903",2009,4,32.24509,-123.49232
83,100,"CC0911",2009,3,32.24509,-123.49232
83,100,"CC1001",2010,3,32.24509,-123.49232
83,100,"CC1104",2011,4,32.24509,-123.49232
83,100,"CC1108",2011,3,32.24509,-123.49232
83,100,"CC1110",2011,4,32.24509,-123.49232
83,100,"CC1202",2012,7,32.24509,-123.49232
83,100,"CC1210",2012,3,32.24509,-123.49232
83,110,"CC0407",2004,4,31.91176,-124.1704
83,110,"CC0501",2005,3,31.91176,-124.1704
83,110,"CC0504",2005,3,31.91176,-124.1704
83,110,"CC0507",2005,4,31.91176,-124.1704
83,110,"CC0707",2007,3,31.91176,-124.1704
83,110,"CC0711",2007,3,31.91176,-124.1704
83,110,"CC0801",2008,3,31.91176,-124.1704
83,110,"CC0803",2008,4,31.91176,-124.1704
83,110,"CC0810",2008,2,31.91176,-124.1704
83,110,"CC1104",2011,4,31.91176,-124.1704
83,110,"CC1110",2011,7,31.91176,-124.1704
83,110,"CC1207",2012,6,31.91176,-124.1704
90,28,"CC0407",2004,4,33.48462,-117.76808
90,28,"CC0411",2004,4,33.48462,-117.76808
90,28,"CC0507",2005,5,33.48462,-117.76808
90,28,"CC0607",2006,4,33.48462,-117.76808
90,28,"CC0808",2008,4,33.48462,-117.76808
90,28,"CC0901",2009,4,33.48462,-117.76808
90,30,"CC0404",2004,4,33.41795,-117.90582
90,30,"CC0411",2004,3,33.41795,-117.90582
90,30,"CC0501",2005,4,33.41795,-117.90582
90,30,"CC0504",2005,3,33.41795,-117.90582
90,30,"CC0507",2005,4,33.41795,-117.90582
90,30,"CC0511",2005,2,33.41795,-117.90582
90,30,"CC0607",2006,4,33.41795,-117.90582
90,30,"CC0704",2007,2,33.41795,-117.90582
90,30,"CC0707",2007,2,33.41795,-117.90582
90,30,"CC0711",2007,4,33.41795,-117.90582
90,30,"CC0801",2008,2,33.41795,-117.90582
90,30,"CC0808",2008,2,33.41795,-117.90582
90,30,"CC0810",2008,4,33.41795,-117.90582
90,30,"CC0907",2009,2,33.41795,-117.90582
90,30,"CC1001",2010,4,33.41795,-117.90582
90,30,"CC1008",2010,5,33.41795,-117.90582
90,30,"CC1101",2011,4,33.41795,-117.90582
90,30,"CC1207",2012,32,33.41795,-117.90582
90,30,"CC1210",2012,5,33.41795,-117.90582
90,35,"CC0407",2004,3,33.25128,-118.24971
90,35,"CC0504",2005,3,33.25128,-118.24971
90,35,"CC0511",2005,1,33.25128,-118.24971
90,35,"CC0607",2006,4,33.25128,-118.24971
90,35,"CC0701",2007,3,33.25128,-118.24971
90,35,"CC0704",2007,3,33.25128,-118.24971
90,35,"CC0707",2007,3,33.25128,-118.24971
90,35,"CC0803",2008,3,33.25128,-118.24971
90,35,"CC0907",2009,3,33.25128,-118.24971
90,35,"CC0911",2009,3,33.25128,-118.24971
90,35,"CC1008",2010,4,33.25128,-118.24971
90,35,"CC1108",2011,4,33.25128,-118.24971
90,35,"CC1210",2012,3,33.25128,-118.24971
90,37,"CC0407",2004,3,33.18462,-118.38708
90,37,"CC0411",2004,4,33.18462,-118.38708
90,37,"CC0511",2005,3,33.18462,-118.38708
90,37,"CC0602",2006,3,33.18462,-118.38708
90,37,"CC0604",2006,3,33.18462,-118.38708
90,37,"CC0704",2007,4,33.18462,-118.38708
90,37,"CC0801",2008,3,33.18462,-118.38708
90,37,"CC0901",2009,4,33.18462,-118.38708
90,37,"CC0903",2009,3,33.18462,-118.38708
90,37,"CC0907",2009,3,33.18462,-118.38708
90,37,"CC0911",2009,3,33.18462,-118.38708
90,37,"CC1008",2010,7,33.18462,-118.38708
90,37,"CC1011",2010,4,33.18462,-118.38708
90,37,"CC1104",2011,4,33.18462,-118.38708
90,37,"CC1110",2011,7,33.18462,-118.38708
90,37,"CC1202",2012,4,33.18462,-118.38708
90,45,"CC0411",2004,5,32.91795,-118.93551
90,45,"CC0507",2005,3,32.91795,-118.93551
90,45,"CC0602",2006,3,32.91795,-118.93551
90,45,"CC0604",2006,4,32.91795,-118.93551
90,45,"CC0711",2007,3,32.91795,-118.93551
90,45,"CC0801",2008,3,32.91795,-118.93551
90,45,"CC0903",2009,4,32.91795,-118.93551
90,45,"CC0907",2009,2,32.91795,-118.93551
90,45,"CC1001",2010,4,32.91795,-118.93551
90,45,"CC1104",2011,3,32.91795,-118.93551
90,45,"CC1203",2012,3,32.91795,-118.93551
90,45,"CC1207",2012,4,32.91795,-118.93551
90,53,"CC0404",2004,5,32.65128,-119.48228
90,53,"CC0411",2004,3,32.65128,-119.48228
90,53,"CC0501",2005,3,32.65128,-119.48228
90,53,"CC0504",2005,4,32.65128,-119.48228
90,53,"CC0507",2005,3,32.65128,-119.48228
90,53,"CC0607",2006,3,32.65128,-119.48228
90,53,"CC0611",2006,4,32.65128,-119.48228
90,53,"CC0701",2007,3,32.65128,-119.48228
90,53,"CC0707",2007,3,32.65128,-119.48228
90,53,"CC0711",2007,4,32.65128,-119.48228
90,53,"CC0803",2008,2,32.65128,-119.48228
90,53,"CC1001",2010,3,32.65128,-119.48228
90,53,"CC1101",2011,5,32.65128,-119.48228
90,53,"CC1203",2012,4,32.65128,-119.48228
90,53,"CC1207",2012,3,32.65128,-119.48228
90,53,"CC1210",2012,4,32.65128,-119.48228
90,60,"CC0407",2004,3,32.41795,-119.95935
90,60,"CC0501",2005,2,32.41795,-119.95935
90,60,"CC0504",2005,5,32.41795,-119.95935
90,60,"CC0511",2005,2,32.41795,-119.95935
90,60,"CC0607",2006,4,32.41795,-119.95935
90,60,"CC0701",2007,3,32.41795,-119.95935
90,60,"CC0704",2007,3,32.41795,-119.95935
90,60,"CC0707",2007,3,32.41795,-119.95935
90,60,"CC0803",2008,4,32.41795,-119.95935
90,60,"CC0808",2008,2,32.41795,-119.95935
90,60,"CC0810",2008,3,32.41795,-119.95935
90,60,"CC0901",2009,3,32.41795,-119.95935
90,60,"CC0907",2009,3,32.41795,-119.95935
90,60,"CC0911",2009,4,32.41795,-119.95935
90,60,"CC1008",2010,2,32.41795,-119.95935
90,60,"CC1101",2011,3,32.41795,-119.95935
90,60,"CC1104",2011,3,32.41795,-119.95935
90,60,"CC1108",2011,4,32.41795,-119.95935
90,70,"CC0407",2004,4,32.08462,-120.63872
90,70,"CC0511",2005,3,32.08462,-120.63872
90,70,"CC0602",2006,2,32.08462,-120.63872
90,70,"CC0604",2006,4,32.08462,-120.63872
90,70,"CC0704",2007,3,32.08462,-120.63872
90,70,"CC0801",2008,4,32.08462,-120.63872
90,70,"CC0808",2008,3,32.08462,-120.63872
90,70,"CC0901",2009,4,32.08462,-120.63872
90,70,"CC0903",2009,3,32.08462,-120.63872
90,70,"CC0911",2009,3,32.08462,-120.63872
90,70,"CC1008",2010,7,32.08462,-120.63872
90,70,"CC1011",2010,5,32.08462,-120.63872
90,70,"CC1104",2011,3,32.08462,-120.63872
90,70,"CC1108",2011,4,32.08462,-120.63872
90,70,"CC1110",2011,6,32.08462,-120.63872
90,70,"CC1202",2012,3,32.08462,-120.63872
90,70,"CC1210",2012,3,32.08462,-120.63872
90,80,"CC0404",2004,2,31.75128,-121.31559
90,80,"CC0507",2005,3,31.75128,-121.31559
90,80,"CC0602",2006,3,31.75128,-121.31559
90,80,"CC0611",2006,3,31.75128,-121.31559
90,80,"CC0711",2007,4,31.75128,-121.31559
90,80,"CC1001",2010,2,31.75128,-121.31559
90,80,"CC1110",2011,5,31.75128,-121.31559
90,80,"CC1203",2012,3,31.75128,-121.31559
90,80,"CC1207",2012,5,31.75128,-121.31559
90,90,"CC0404",2004,4,31.41795,-121.99001
