eDNA_Process,Illumina_name,Sample,station_name,year,season,line,station,depth,Gg,Tt,Mn,Dc,Lb,Lo,Dd,latitude,longitude,cruise,detections,SpeciesName,SubOrder
sequenced,WHALE_003,201402_090.0_037.0_10,90_37,2014,winter,90.0,37.0,10.0,x,,,,,,,33.18462,-118.38708,CC1402,Gg,Rissos dolphin,Odontocete
sequenced,WHALE_002,201402_090.0_053.0_10,90_53,2014,winter,90.0,53.0,10.0,,,,,,,,32.65128,-119.48228,CC1402,,,
sequenced,WHALE_001,201402_093.3_060.0_11,93.3_60,2014,winter,93.3,60.0,11.0,,,,,,,,31.84637,-119.57154,CC1402,,,
sequenced,WHALE_010,201404_076.7_051.0_21,76.7_51,2014,spring,76.7,51.0,21.0,,,,,,x,,35.02158,-120.91782,CC1404,Lo,Pacific white-sided dolphin,Odontocete
sequenced,WHALE_009,201404_076.7_051.0_9,76.7_51,2014,spring,76.7,51.0,9.0,,,,,,,,35.02158,-120.91782,CC1404,,,
sequenced,WHALE_007,201404_080.0_070.0_10,80_70,2014,spring,80.0,70.0,10.0,,,,,,,,33.81667,-121.84304,CC1404,,,
sequenced,WHALE_008,201404_080.0_070.0_40,80_70,2014,spring,80.0,70.0,40.0,,,,,,,,33.81667,-121.84304,CC1404,,,
sequenced,WHALE_006,201404_081.8_046.9_20,81.8_46.9,2014,spring,81.8,46.9,20.0,,,,,,,,34.2749,-120.02524,CC1404,,,
sequenced,WHALE_005,201404_090.0_053.0_30,90_53,2014,spring,90.0,53.0,30.0,,,,,,,,32.65128,-119.48228,CC1404,,,
sequenced,WHALE_004,201404_093.3_045.0_12,93.3_45,2014,spring,93.3,45.0,12.0,,,,,x,,,32.34637,-118.55423,CC1404,Lb,Northern right whale dolphin,Odontocete
sequenced,WHALE_019,201407_080.0_055.0_30,80_55,2014,summer,80.0,55.0,30.0,,,,,,,,34.31667,-120.80245,CC1407,,,
sequenced,WHALE_017,201407_081.8_046.9_170,81.8_46.9,2014,summer,81.9,46.9,170.0,,,,,,,,34.2749,-120.02524,CC1407,,,
sequenced,WHALE_018,201407_081.8_046.9_515,81.8_46.9,2014,summer,81.9,46.9,515.0,,,,,,,,34.2749,-120.02524,CC1407,,,
sequenced,WHALE_015,201407_086.7_045.0_10,86.7_45,2014,summer,86.7,45.0,10.0,,,,,,,,33.48953,-119.3191,CC1407,,,
sequenced,WHALE_016,201407_086.7_045.0_53,86.7_45,2014,summer,86.7,45.0,53.0,,,,,,,,33.48953,-119.3191,CC1407,,,
sequenced,WHALE_014,201407_090.0_037.0_10,90_37,2014,summer,90.0,37.0,10.0,,,,,,,,33.18462,-118.38708,CC1407,,,
sequenced,WHALE_012,201407_090.0_053.0_10,90_53,2014,summer,90.0,53.0,10.0,,,,,,,,32.65128,-119.48228,CC1407,,,
sequenced,WHALE_013,201407_090.0_053.0_30,90_53,2014,summer,90.0,53.0,30.0,,,,,,,,32.65128,-119.48228,CC1407,,,
sequenced,WHALE_011,201407_090.0_070.0_10,90_70,2014,summer,90.0,70.0,10.0,,,,,,,,32.08462,-120.63872,CC1407,,,
