eDNA_Process,Illumina_name,Sample,station_name,year,season,line,station,depth,Gg,Tt,Mn,Dc,Lb,Lo,Dd,latitude,longitude,cruise,detections,SpeciesName,SubOrder
sequenced,WHALE_003,201402_090.0_037.0_10,90_37,2014,winter,90,37,10,x,,,,,,,33.18462,-118.38708,CC1402,Gg,Rissos dolphin,Odontocete
sequenced,WHALE_002,201402_090.0_053.0_10,90_53,2014,winter,90,53,10,,,,,,,,32.65128,-119.48228,CC1402,NA,NA,NA
sequenced,WHALE_001,201402_093.3_060.0_11,93.3_60,2014,winter,93.3,60,11,,,,,,,,31.84637,-119.57154,CC1402,NA,NA,NA
sequenced,WHALE_010,201404_076.7_051.0_21,76.7_51,2014,spring,76.7,51,21,,,,,,x,,35.02158,-120.91782,CC1404,Lo,Pacific white-sided dolphin,Odontocete
sequenced,WHALE_009,201404_076.7_051.0_9,76.7_51,2014,spring,76.7,51,9,,,,,,,,35.02158,-120.91782,CC1404,NA,NA,NA
sequenced,WHALE_007,201404_080.0_070.0_10,80_70,2014,spring,80,70,10,,,,,,,,33.81667,-121.84304,CC1404,NA,NA,NA
sequenced,WHALE_008,201404_080.0_070.0_40,80_70,2014,spring,80,70,40,,,,,,,,33.81667,-121.84304,CC1404,NA,NA,NA
sequenced,WHALE_006,201404_081.8_046.9_20,81.8_46.9,2014,spring,81.8,46.9,20,,,,,,,,34.2749,-120.02524,CC1404,NA,NA,NA
sequenced,WHALE_005,201404_090.0_053.0_30,90_53,2014,spring,90,53,30,,,,,,,,32.65128,-119.48228,CC1404,NA,NA,NA
sequenced,WHALE_004,201404_093.3_045.0_12,93.3_45,2014,spring,93.3,45,12,,,,,x,,,32.34637,-118.55423,CC1404,Lb,Northern right whale dolphin,Odontocete
sequenced,WHALE_019,201407_080.0_055.0_30,80_55,2014,summer,80,55,30,,,,,,,,34.31667,-120.80245,CC1407,NA,NA,NA
sequenced,WHALE_017,201407_081.8_046.9_170,81.8_46.9,2014,summer,81.9,46.9,170,,,,,,,,34.2749,-120.02524,CC1407,NA,NA,NA
sequenced,WHALE_018,201407_081.8_046.9_515,81.8_46.9,2014,summer,81.9,46.9,515,,,,,,,,34.2749,-120.02524,CC1407,NA,NA,NA
sequenced,WHALE_015,201407_086.7_045.0_10,86.7_45,2014,summer,86.7,45,10,,,,,,,,33.48953,-119.3191,CC1407,NA,NA,NA
sequenced,WHALE_016,201407_086.7_045.0_53,86.7_45,2014,summer,86.7,45,53,,,,,,,,33.48953,-119.3191,CC1407,NA,NA,NA
sequenced,WHALE_014,201407_090.0_037.0_10,90_37,2014,summer,90,37,10,,,,,,,,33.18462,-118.38708,CC1407,NA,NA,NA
sequenced,WHALE_012,201407_090.0_053.0_10,90_53,2014,summer,90,53,10,,,,,,,,32.65128,-119.48228,CC1407,NA,NA,NA
sequenced,WHALE_013,201407_090.0_053.0_30,90_53,2014,summer,90,53,30,,,,,,,,32.65128,-119.48228,CC1407,NA,NA,NA
sequenced,WHALE_011,201407_090.0_070.0_10,90_70,2014,summer,90,70,10,,,,,,,,32.08462,-120.63872,CC1407,NA,NA,NA
sequenced,WHALE_034,201411_081.8_046.9_170,81.8_46.9,2014,fall,81.9,46.9,170,,,,,,,,34.2749,-120.02524,CC1411,NA,NA,NA
sequenced,WHALE_033,201411_081.8_046.9_515,81.8_46.9,2014,fall,81.9,46.9,515,,,,,,,,34.2749,-120.02524,CC1411,NA,NA,NA
sequenced,WHALE_021,201411_086.7_050.0_10,86.7_50,2014,fall,86.7,50,10,,,,,,,,33.32286,-119.66327,CC1411,NA,NA,NA
sequenced,WHALE_020,201411_093.3_045.0_10,93.3_45,2014,fall,93.3,45,10,,,,,,,x,32.34637,-118.55423,CC1411,Dd,Short-beaked common dolphin,Odontocete
sequenced,WHALE_031,201501_080.0_055.0_10,80_55,2015,winter,80,55,10,,,,,,,x,34.31667,-120.80245,CC1501,Dd,Short-beaked common dolphin,Odontocete
sequenced,WHALE_032,201501_080.0_080.0_10,80_80,2015,winter,80,80,10,,,,,,,,33.48333,-122.53335,CC1501,NA,NA,NA
sequenced,WHALE_029,201501_081.8_046.9_0,81.8_46.9,2015,winter,81.8,46.9,0,,,,,,,x,34.2749,-120.02524,CC1501,Dd,Short-beaked common dolphin,Odontocete
sequenced,WHALE_030,201501_081.8_046.9_50,81.8_46.9,2015,winter,81.8,46.9,50,,,,,,,,34.2749,-120.02524,CC1501,NA,NA,NA
sequenced,WHALE_028,201501_083.3_042.0_9,83.3_42,2015,winter,83.3,42,9,,,,,,,,34.17842,-119.50851,CC1501,NA,NA,NA
sequenced,WHALE_026,201501_086.7_040.0_22,86.7_40,2015,winter,86.7,40,22,x,x,,,,,,33.65619,-118.97425,CC1501,"Gg, Tt","Rissos dolphin, Bottlenose dolphin","Odontocete, Odontocete"
sequenced,WHALE_027,201501_086.7_070.0_12,86.7_70,2015,winter,86.7,70,12,,,,,,,,32.65619,-121.03339,CC1501,NA,NA,NA
sequenced,WHALE_025,201501_090.0_037.0_10,90_37,2015,winter,90,37,10,,,,x,,,x,33.18462,-118.38708,CC1501,"Dc, Dd","Long-beaked common dolphin , Short-beaked common dolphin","Odontocete, Odontocete"
sequenced,WHALE_024,201501_090.0_053.0_62,90_53,2015,winter,90,53,62,,,,,,,,32.65128,-119.48228,CC1501,NA,NA,NA
sequenced,WHALE_022,201501_093.3_026.7_8,93.3_26.7,2015,winter,93.3,26.7,8,,,,,,,,32.95637,-117.30538,CC1501,NA,NA,NA
sequenced,WHALE_042,201504_076.7_070.0_515,76.7_70,2015,spring,76.7,70,515,,,,,,,,34.38824,-122.24608,CC1504,NA,NA,NA
sequenced,WHALE_041,201504_080.0_070.0_10,80_70,2015,spring,80,70,10,,,,,,,,33.81667,-121.84304,CC1504,NA,NA,NA
sequenced,WHALE_036,201504_081.8_046.9_170,81.8_46.9,2015,spring,81.9,46.9,170,,,,,,,,34.2749,-120.02524,CC1504,NA,NA,NA
sequenced,WHALE_035,201504_081.8_046.9_515,81.8_46.9,2015,spring,81.9,46.9,515,,,,,,,,34.2749,-120.02524,CC1504,NA,NA,NA
sequenced,WHALE_040,201504_090.0_037.0_10,90_37,2015,spring,90,37,10,,,,,,,,33.18462,-118.38708,CC1504,NA,NA,NA
